,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267566,137281,100,1,0,1,1,1,1,9,1,1,3,1
267567,137281,200,0,1,0,0,0,0,5,0,0,1,0
267568,137282,100,1,0,0,0,0,0,1,0,0,1,0
267569,137282,200,0,1,1,0,1,1,9,1,0,2,1
267570,137283,100,0,1,0,0,1,1,5,1,0,1,1
267571,137283,200,1,0,1,1,0,0,10,2,2,2,0
267572,137284,100,0,0,0,0,0,0,0,0,0,0,0
267573,137284,200,1,1,1,0,1,1,8,1,0,2,1
267574,137285,100,0,0,0,0,0,0,3,0,0,0,0
267575,137285,200,1,1,1,1,1,1,9,2,1,3,1
