,id,gameid,platformid,queueid,seasonid,duration,creation,version
138333,141845,2377733561,NA1,420,8,2009,1482202827628,6.24.169.4424
138334,141846,2377681758,NA1,420,8,2054,1482198326509,6.24.169.4424
138335,141847,2377585576,NA1,420,8,2030,1482195724675,6.24.169.4424
138336,141848,2376756779,NA1,420,8,1965,1482117924590,6.24.169.4424
138337,141849,2376732827,NA1,420,8,1242,1482116154137,6.24.169.4424
138338,141850,2376673011,NA1,420,8,1528,1482112272424,6.24.169.4424
138339,141851,2376615915,NA1,420,8,2012,1482109403457,6.24.169.4424
138340,141852,2376577966,NA1,420,8,2151,1482106170847,6.24.169.4424
138341,141853,2376387787,NA1,420,8,2795,1482092225647,6.24.169.4424
138342,141854,2376401157,NA1,420,8,2640,1482089077198,6.24.169.4424
138343,141855,2375588517,NA1,420,8,1856,1482027309916,6.24.169.4424
138344,141856,2375616196,NA1,420,8,192,1482026473194,6.24.169.4424
138345,141857,2375572488,NA1,420,8,1181,1482024679718,6.24.169.4424
138346,141858,2375503440,NA1,420,8,1523,1482020680253,6.24.169.4424
138347,141859,2375404844,NA1,420,8,1414,1482012028147,6.24.169.4424
138348,141860,2375359003,NA1,420,8,2214,1482009290928,6.24.169.4424
138349,141861,2375232758,NA1,420,8,2528,1481995139182,6.24.169.4424
138350,141862,2375158093,NA1,420,8,1576,1481990823178,6.24.169.4424
138351,141863,2374905589,NA1,420,8,1861,1481950262561,6.24.169.4424
138352,141864,2374839258,NA1,420,8,1939,1481947781826,6.24.169.4424
138353,141865,2374841227,NA1,420,8,2570,1481944706367,6.24.169.4424
138354,141866,2373817067,NA1,420,8,1792,1481857991255,6.24.169.4424
138355,141867,2373167021,NA1,420,8,1256,1481773159478,6.24.169.4424
138356,141868,2373101243,NA1,420,8,1990,1481766635780,6.24.169.4424
138357,141869,2372194387,NA1,420,8,2670,1481684576783,6.24.169.4424
138358,141870,2372163897,NA1,420,8,1870,1481680672665,6.24.169.4424
138359,141871,2371623565,NA1,420,8,2377,1481603695642,6.24.168.1268
138360,141872,2371611692,NA1,420,8,195,1481602676435,6.24.168.1268
138361,141873,2370272017,NA1,420,8,1874,1481487645781,6.24.168.1268
138362,141874,2368688787,NA1,420,8,1352,1481345396719,6.24.168.1268
138363,141875,2368692089,NA1,420,8,1915,1481343014310,6.24.168.1268
138364,141876,2368542219,NA1,420,8,1639,1481335382922,6.24.168.1268
138365,141877,2368485387,NA1,420,8,2026,1481332560849,6.24.168.1268
138366,141878,2368458268,NA1,420,8,1752,1481329762558,6.24.168.1268
138367,141879,2367686031,NA1,420,8,1402,1481256122266,6.24.168.1268
138368,141880,2367648555,NA1,420,8,2242,1481253255219,6.24.168.1268
138369,141881,2367641374,NA1,420,8,2333,1481250478012,6.24.168.1268
138370,141882,2367011667,NA1,420,8,2153,1481164808639,6.24.168.1268
138371,141883,2366971435,NA1,420,8,2536,1481160743718,6.24.168.1268
138372,141884,2366925716,NA1,420,8,1926,1481158298431,6.24.168.1268
139153,142665,2480043509,NA1,440,8,2620,1492725307649,7.8.184.113
139154,142666,2480020731,NA1,9,8,923,1492722739055,7.8.184.113
139155,142667,2479955225,NA1,9,8,1364,1492718539145,7.8.184.113
139156,142668,2479944505,NA1,9,8,1179,1492716914283,7.8.184.113
139157,142669,2474674513,NA1,9,8,2040,1492179594246,7.7.183.8394
139158,142670,2473411079,NA1,420,8,1120,1492033114043,7.7.182.1428
139159,142671,2464354558,NA1,440,8,1916,1491003637019,7.6.181.2079
139160,142672,2462556299,NA1,9,8,1462,1490820903737,7.6.181.2079
139161,142673,2461127566,NA1,9,8,1255,1490646466227,7.6.181.2079
139162,142674,2458091464,NA1,440,8,2056,1490309018336,7.6.181.2079
139163,142675,2453690775,NA1,440,8,2700,1489847942899,7.5.178.6844
139164,142676,2453670232,NA1,420,8,1584,1489845388887,7.5.178.6844
139165,142677,2449889023,NA1,440,8,1962,1489439665876,7.5.178.6844
139166,142678,2448245481,NA1,9,8,2309,1489262428155,7.5.178.6844
139167,142679,2448215606,NA1,9,8,1471,1489260304055,7.5.178.6844
139168,142680,2446002207,NA1,9,8,1159,1489013855467,7.5.178.6844
139169,142681,2444096820,NA1,9,8,1755,1488818416263,7.4.178.5050
139170,142682,2444084345,NA1,9,8,2279,1488814968691,7.4.178.5050
139171,142683,2440746117,NA1,9,8,1834,1488509993279,7.4.178.5050
139172,142684,2440039764,NA1,9,8,1432,1488410546404,7.4.176.9828
139173,142685,2439995311,NA1,9,8,1899,1488407957515,7.4.176.9828
139174,142686,2431664580,NA1,420,8,2480,1487651856141,7.3.175.271
139175,142687,2431621836,NA1,9,8,972,1487649491803,7.3.175.271
139176,142688,2431374200,NA1,440,8,1781,1487631505901,7.3.175.271
139177,142689,2431340005,NA1,9,8,1666,1487628535559,7.3.175.271
139178,142690,2429332643,NA1,9,8,1831,1487469123884,7.3.175.271
139179,142691,2427182449,NA1,9,8,1190,1487289135176,7.3.175.271
139180,142692,2426395357,NA1,440,8,1803,1487210355142,7.3.175.271
139181,142693,2426241419,NA1,440,8,2054,1487195159511,7.3.175.271
139182,142694,2425130497,NA1,420,8,2397,1487111134801,7.3.175.271
139183,142695,2424086163,NA1,9,8,2069,1487007129966,7.3.175.271
139184,142696,2423829538,NA1,440,8,1564,1486959744537,7.3.175.271
139185,142697,2423822662,NA1,440,8,1422,1486957685721,7.3.175.271
139186,142698,2423791981,NA1,420,8,1849,1486954546395,7.3.175.271
139187,142699,2422963366,NA1,9,8,1316,1486871154602,7.3.175.271
139188,142700,2422913053,NA1,9,8,1721,1486868954281,7.3.175.271
